Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Month,Year,BranchName,DealerName,Product_Name,Date
BR1325,DLR0053,Jee-M13,11820578,2,DT01121,1,2020,Monica Motors,Eicher Polaris Motors,Jeep,1/26/2020 0:00
BR1330,DLR0220,Mar-M140,4505054,2,DT01109,1,2020,Monica Motors,Morris  Motors,Maruti Suzuki,1/14/2020 0:00
BR1340,DLR0221,Mar-M141,7636791,1,DT01110,1,2020,Monteverdi Motors,Austin  Motors,Maruti Suzuki,1/15/2020 0:00
BR1360,DLR0223,Mar-M143,10719476,2,DT01112,1,2020,Moskwitch Motors,Wolseley  Motors,Maruti Suzuki,1/17/2020 0:00
BR1365,DLR0057,For-M17,1729269,1,DT01125,1,2020,Nash Motors,Fiat Motors,Ford,1/30/2020 0:00
BR1370,DLR0224,Mar-M144,22596384,3,DT01113,1,2020,Nash Motors,Standard  Motors,Maruti Suzuki,1/18/2020 0:00
BR1380,DLR0225,Mar-M145,5143059,3,DT01114,1,2020,Naza Motors,Talbot  Motors,Maruti Suzuki,1/19/2020 0:00
BR1390,DLR0226,Mar-M146,18375622,2,DT01115,1,2020,Nissan Motors,Das Motors,Maruti Suzuki,1/20/2020 0:00
BR1395,DLR0060,For-M20,3826662,2,DT01128,2,2020,Nissan India Motors,"Fisker, Karma Motors",Ford,2/2/2020 0:00
BR1405,DLR0061,For-M21,8119439,1,DT01129,2,2020,Noble Motors,Ford America Motors,Ford,2/3/2020 0:00
BR1410,DLR0228,Mar-M148,22715907,3,DT01117,1,2020,Noble Motors,Deccan Motors,Maruti Suzuki,1/22/2020 0:00
BR1420,DLR0229,Mar-M149,3362029,1,DT01118,1,2020,NSU Motors,Herald Motors,Maruti Suzuki,1/23/2020 0:00
BR1425,DLR0063,For-M23,19571838,3,DT01131,2,2020,Oldsmobile Motors,Ford do Brasil Motors,Ford,2/5/2020 0:00
BR1435,DLR0064,For-M24,8184657,1,DT01132,2,2020,Oltcit Motors,Ford Europe Motors,Ford,2/6/2020 0:00
BR1440,DLR0231,Mar-M151,12650379,3,DT01120,1,2020,Oltcit Motors,Atlantic Motor Company,Maruti Suzuki,1/25/2020 0:00
BR1445,DLR0065,For-M25,17788070,2,DT01133,2,2020,Opel Motors,Ford India Motors,Ford,2/7/2020 0:00
BR1450,DLR0232,Mar-M152,19474533,3,DT01121,1,2020,Opel Motors,2008 NRHP-listed,Maruti Suzuki,1/26/2020 0:00
BR1455,DLR0066,For-M26,5109932,2,DT01134,2,2020,Packard Motors,Freightliner Motors,Ford,2/8/2020 0:00
BR1460,DLR0233,Hyu-M153,5377184,2,DT01122,1,2020,Packard Motors,Blankinship Motor Company Building,Hyundai,1/27/2020 0:00
BR1465,DLR0067,Lin-M27,756130,2,DT01135,2,2020,Pagani Motors,FSO Motors,Lincoln,2/9/2020 0:00
BR1475,DLR0068,Lin-M28,14722240,2,DT01136,2,2020,Panhard Motors,GAZ Motors,Lincoln,2/10/2020 0:00
BR1480,DLR0235,Hyu-M155,16603584,2,DT01124,1,2020,Panhard Motors,Buick Automobile Company Building,Hyundai,1/29/2020 0:00
BR1485,DLR0069,Lin-M29,6430716,1,DT01137,2,2020,Panoz Motors,Geo Motors,Lincoln,2/11/2020 0:00
BR1495,DLR0070,Lin-M30,3396415,1,DT01138,2,2020,Panther Motors,Gilbern Motors,Lincoln,2/12/2020 0:00
BR1510,DLR0238,Hyu-M158,21888990,3,DT01127,2,2020,Peel Motors,Cass Motor Sales,Hyundai,2/1/2020 0:00
BR1515,DLR0072,Cad-M32,14614923,3,DT01140,2,2020,Perodua Motors,Glas Motors,Cadillac,2/14/2020 0:00
BR1520,DLR0239,Hyu-M159,28839432,3,DT01128,2,2020,Perodua Motors,Claremore Auto Dealership,Hyundai,2/2/2020 0:00
BR1525,DLR0073,Cad-M33,5345219,1,DT01141,2,2020,Peugeot Motors,GMC Motors,Cadillac,2/15/2020 0:00
BR1530,DLR0240,Hyu-M160,4257825,3,DT01129,2,2020,Peugeot Motors,Clemens Automobile Company Building,Hyundai,2/3/2020 0:00
BR1540,DLR0241,Hyu-M161,19956204,3,DT01130,2,2020,PGO Motors,Colman Automotive Building,Hyundai,2/4/2020 0:00
BR1545,DLR0075,Cad-M35,11312878,2,DT01143,2,2020,Piaggio Motors,Gumpert Motors,Cadillac,2/17/2020 0:00
BR1555,DLR0076,Cad-M36,20868240,3,DT01144,2,2020,Plymouth Motors,Healey Motors,Cadillac,2/18/2020 0:00
BR1560,DLR0243,Hyu-M163,9443751,3,DT01132,2,2020,Plymouth Motors,Howard Motor Company Building,Hyundai,2/6/2020 0:00
BR1565,DLR0077,Cad-M37,14383581,3,DT01145,2,2020,Polestar Motors,Heinkel Motors,Cadillac,2/19/2020 0:00
BR1570,DLR0244,Hyu-M164,12224948,2,DT01133,2,2020,Polestar Motors,Hupmobile Building,Hyundai,2/7/2020 0:00
BR1575,DLR0078,Cad-M38,8234393,1,DT01146,2,2020,"Pontiac, Asüna Motors",Hennessey Motors,Cadillac,2/20/2020 0:00
BR1585,DLR0079,Cad-M39,2785750,1,DT01147,2,2020,Porsche Motors,Hillman Motors,Cadillac,2/21/2020 0:00
BR1590,DLR0246,Mah-M166,4431368,1,DT01135,2,2020,Porsche Motors,Jones Motor Company,Mahindra,2/9/2020 0:00
BR1595,DLR0080,Che-M40,7968813,1,DT01148,2,2020,Premier Motors,Hindustan Motors,Chevrolet,2/22/2020 0:00
BR1600,DLR0247,Mah-M167,112246,1,DT01136,2,2020,Premier Motors,Kindel Building,Mahindra,2/10/2020 0:00
