Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Month,Year,BranchName,DealerName,Product_Name,Date,ReturnFlag
BR1930,DLR0013,Toy-M200,27872751,3,DT01169,3,2020,Tazzari Motors,Aston Martin Motors,Toyota,3/14/2020 0:00,1
BR1935,DLR0114,Hyu-M74,1988116,2,DT01182,3,2020,Tesla Motors,Lynx Motors,Hyundai,3/27/2020 0:00,1
BR1940,DLR0014,Toy-M201,8464536,2,DT01170,3,2020,Tesla Motors,Audi Motors,Toyota,3/15/2020 0:00,1
BR1945,DLR0115,Hyu-M75,15778162,2,DT01183,3,2020,Tornado Motors,Mahindra Motors,Hyundai,3/28/2020 0:00,1
BR1955,DLR0116,Kia-M76,2167212,3,DT01184,3,2020,Toyota Motors,Marcos Motors,Kia,3/29/2020 0:00,1
BR1960,DLR0016,Toy-M203,4420992,1,DT01172,3,2020,Toyota Motors,Auto-Union Motors,Toyota,3/17/2020 0:00,1
BR1965,DLR0117,Kia-M77,9918502,2,DT01185,3,2020,Toyota India Motors,Marlin Motors,Kia,3/30/2020 0:00,1
BR1975,DLR0118,Kia-M78,12487035,3,DT01186,3,2020,Turner Motors,Maruti Motors,Kia,3/31/2020 0:00,1
BR1980,DLR0018,Toy-M205,18797763,3,DT01174,3,2020,Turner Motors,Bentley Motors,Toyota,3/19/2020 0:00,1
BR1985,DLR0119,Inf-M79,1185524,2,DT01187,4,2020,TVR Motors,Maserati Motors,Infiniti,4/1/2020 0:00,1
BR1990,DLR0019,Toy-M206,16819923,3,DT01175,3,2020,TVR Motors,Bitter Motors,Toyota,3/20/2020 0:00,1
BR2000,DLR0020,Ren-M207,26641407,3,DT01176,3,2020,UAZ Motors,BMW Motors,Renault,3/21/2020 0:00,1
BR2005,DLR0121,Nis-M81,29104182,3,DT01189,4,2020,Vauxhall Motors,"Matra (including Deutsch-Bonnet, René Bonnet) Motors",Nissan,4/3/2020 0:00,1
BR2025,DLR0123,Nis-M83,6607616,1,DT01191,4,2020,Volkswagen Motors,Mazzanti Motors,Nissan,4/5/2020 0:00,1
BR2030,DLR0023,Ren-M210,29245743,3,DT01179,3,2020,Volkswagen Motors,Bristol Motors,Renault,3/24/2020 0:00,1
BR2035,DLR0124,Nis-M84,11136476,2,DT01192,4,2020,Volkswagen do Brasil Motors,McLaren Motors,Nissan,4/6/2020 0:00,1
BR2040,DLR0024,Ren-M211,1362898,1,DT01180,3,2020,Volkswagen do Brasil Motors,British Leyland Motors,Renault,3/25/2020 0:00,1
BR2045,DLR0125,Nis-M85,8087798,2,DT01193,4,2020,Volkswagen South Africa Motors,Mercedes-Benz (including Maybach) Motors,Nissan,4/7/2020 0:00,1
BR2050,DLR0025,Kia-M212,24546006,3,DT01181,3,2020,Volkswagen South Africa Motors,Austin-Healey Motors,Kia,3/26/2020 0:00,1
BR2060,DLR0026,Kia-M213,2493076,1,DT01182,3,2020,Volvo Motors,"Austin, Rover Motors",Kia,3/27/2020 0:00,1
BR2065,DLR0127,Nis-M87,5761937,1,DT01195,4,2020,Westfield Motors,Merkur Motors,Nissan,4/9/2020 0:00,1
BR2070,DLR0027,Kia-M214,8376524,1,DT01183,3,2020,Westfield Motors,Bugatti Motors,Kia,3/28/2020 0:00,1
BR2075,DLR0128,Nis-M88,5248404,2,DT01196,4,2020,Wiesmann Motors,Messerschmitt Motors,Nissan,4/10/2020 0:00,1
BR2080,DLR0028,Hon-M215,7528299,1,DT01184,3,2020,Wiesmann Motors,Buick Motors,Honda,3/29/2020 0:00,1
BR2085,DLR0129,Nis-M89,8997126,3,DT01197,4,2020,Zastava Motors,Mia Motors,Nissan,4/11/2020 0:00,1
BR2090,DLR0029,Hon-M216,1297858,1,DT01185,3,2020,Zastava Motors,Bytom Motors,Honda,3/30/2020 0:00,1
BR2095,DLR0130,Riv-M90,14384055,3,DT01198,4,2020,ZAZ Motors,Micro Motors,Rivian,4/12/2020 0:00,1
BR2100,DLR0030,Hon-M217,1794492,1,DT01186,3,2020,ZAZ Motors,Cadillac Motors,Honda,3/31/2020 0:00,1
BR2105,DLR0131,Riv-M91,9851706,3,DT01199,4,2020,ZIL Motors,Mini Motors,Rivian,4/13/2020 0:00,1
BR2110,DLR0031,Hon-M218,7084610,1,DT01187,4,2020,ZIL Motors,Caterham Motors,Honda,4/1/2020 0:00,1
BR2115,DLR0132,Sub-M92,18425982,2,DT01200,4,2020,Audi Motors,Mitsubishi Motors,Subaru,4/14/2020 0:00,1
BR2125,DLR0133,Sub-M93,8790030,1,DT01201,4,2020,DKW Motors,Monica Motors,Subaru,4/15/2020 0:00,1
BR2130,DLR0033,Hon-M220,2203758,1,DT01189,4,2020,DKW Motors,Chevrolet Motors,Honda,4/3/2020 0:00,1
BR2135,DLR0134,Sub-M94,8253262,2,DT01202,4,2020,Horch Motors,Monteverdi Motors,Subaru,4/16/2020 0:00,1
BR2140,DLR0034,For-M221,18982494,3,DT01190,4,2020,Horch Motors,Chevrolet India Motors,Ford,4/4/2020 0:00,1
BR2150,DLR0035,For-M222,1010235,3,DT01191,4,2020,Wanderer Motors,Chrysler Motors,Ford,4/5/2020 0:00,1
BR2155,DLR0136,Tes-M96,11171496,3,DT01204,4,2020,Maybach  Motors,Moskwitch Motors,Tesla,4/18/2020 0:00,1
BR2160,DLR0036,For-M223,4417448,2,DT01192,4,2020,Maybach  Motors,Chrysler Europe Motors,Ford,4/6/2020 0:00,1
BR2165,DLR0137,Tes-M97,26413749,3,DT01205,4,2020,Izh  Motors,Nash Motors,Tesla,4/19/2020 0:00,1
BR2170,DLR0037,For-M224,1229389,1,DT01193,4,2020,Izh  Motors,Citroën Motors,Ford,4/7/2020 0:00,1
BR2175,DLR0138,Tes-M98,8877463,1,DT01206,4,2020,Lagonda  Motors,Naza Motors,Tesla,4/20/2020 0:00,1
BR2180,DLR0038,For-M225,10562268,3,DT01194,4,2020,Lagonda  Motors,Cizeta-Moroder Motors,Ford,4/8/2020 0:00,1
BR2185,DLR0139,Lex-M99,20577474,3,DT01207,4,2020,MG  Motors,Nissan Motors,Lexus,4/21/2020 0:00,1
BR2190,DLR0039,For-M226,13949298,2,DT01195,4,2020,MG  Motors,Dacia Motors,Ford,4/9/2020 0:00,1
BR2195,DLR0140,Toy-M100,15681306,2,DT01208,4,2020,Morris  Motors,Nissan India Motors,Toyota,4/22/2020 0:00,1
BR2200,DLR0040,Aud-M227,8881768,1,DT01196,4,2020,Morris  Motors,"Daewoo, Saehan, Chevrolet Korea Motors",Audi,4/10/2020 0:00,1
BR2210,DLR0041,Aud-M228,14143962,2,DT01197,4,2020,Austin  Motors,DAF Motors,Audi,4/11/2020 0:00,1
BR2220,DLR0042,Aud-M229,5651109,3,DT01198,4,2020,Riley  Motors,Daihatsu Motors,Audi,4/12/2020 0:00,1
BR2225,DLR0143,Toy-M103,9042719,1,DT01211,4,2020,Wolseley  Motors,Oldsmobile Motors,Toyota,4/25/2020 0:00,1
BR2230,DLR0043,Aud-M230,18718750,2,DT01199,4,2020,Wolseley  Motors,Daimler Motors,Audi,4/13/2020 0:00,1
BR2240,DLR0044,Aud-M231,19955415,3,DT01200,4,2020,Standard  Motors,,Audi,4/14/2020 0:00,1
BR2245,DLR0145,Toy-M105,8064714,2,DT01213,4,2020,Talbot  Motors,Opel Motors,Toyota,4/27/2020 0:00,1
BR2250,DLR0045,Aud-M232,1853412,2,DT01201,4,2020,Talbot  Motors,Delahaye Motors,Audi,4/15/2020 0:00,1
BR2260,DLR0046,Aud-M233,226386,2,DT01202,4,2020,Das Motors,DeLorean Motors,Audi,4/16/2020 0:00,1
BR2270,DLR0047,Aud-M234,7358930,2,DT01203,4,2020,Ramani Motors,DeSoto Motors,Audi,4/17/2020 0:00,1
BR2275,DLR0148,Vol-M108,17151476,2,DT01216,4,2020,Deccan Motors,Panhard Motors,Volkswagen,4/30/2020 0:00,1
